rank,channel_info,influence_score,posts,followers,avg_likes,60_day_eng_rate,new_post_avg_like,total_likes,country,likes_to_followers_ratio,engagement_score,activity_level,follower_tier,engagement_level,post_per_million_followers,influence_per_post,country_rank
1,cristiano,92,3300.0,475800000.0,8700000.0,1.39,6500000.0,29000000000.0,Spain,0.01828499369482976,127.88,Medium,Mega (100M+),Medium,6.935687263556115,0.027878787878787878,1.0
2,kyliejenner,91,6900.0,366200000.0,8300000.000000001,1.62,5900000.0,57400000000.0,United States,0.02266521026761333,147.42000000000002,High,Mega (100M+),Medium,18.842162752594213,0.01318840579710145,1.0
3,leomessi,90,890.0,357300000.0,6800000.0,1.24,4400000.0,6000000000.0,Not Provided,0.01903162608452281,111.6,Low,Mega (100M+),Medium,2.4909040022390148,0.10112359550561797,1.0
4,selenagomez,93,1800.0,342700000.0,6200000.0,0.97,3300000.0,11500000000.0,United States,0.01809162532827546,90.21,Medium,Mega (100M+),Low,5.252407353370295,0.051666666666666666,2.0
5,therock,91,6800.0,334100000.0,1900000.0,0.2,665300.0,12500000000.0,United States,0.005686920083807243,18.2,High,Mega (100M+),Low,20.353187668362768,0.01338235294117647,3.0
6,kimkardashian,91,5600.0,329200000.0,3500000.0,0.88,2900000.0,19900000000.0,United States,0.0106318347509113,80.08,High,Mega (100M+),Low,17.01093560145808,0.01625,4.0
7,arianagrande,92,5000.0,327700000.0,3700000.0,1.2,3900000.0,18400000000.0,United States,0.011290814769606347,110.39999999999999,High,Mega (100M+),Medium,15.257857796765334,0.0184,5.0
8,beyonce,92,2000.0,272800000.0,3600000.0,0.76,2000000.0,7400000000.0,United States,0.013196480938416423,69.92,Medium,Mega (100M+),Low,7.331378299120234,0.046,6.0
9,khloekardashian,89,4100.0,268300000.0,2400000.0,0.35,926900.0,9800000000.0,United States,0.008945210585165859,31.15,High,Mega (100M+),Low,15.28140141632501,0.02170731707317073,7.0
10,justinbieber,91,7400.0,254500000.0,1900000.0,0.59,1500000.0,13900000000.0,Canada,0.007465618860510805,53.69,High,Mega (100M+),Low,29.076620825147348,0.012297297297297297,1.0
11,kendalljenner,90,660.0,254000000.0,5500000.0,2.04,5100000.0,3700000000.0,United States,0.021653543307086614,183.6,Low,Mega (100M+),Medium,2.598425196850394,0.13636363636363635,8.0
12,natgeo,91,10000.0,237000000.0,302200.0,0.07,159300.0,3000000000.0,United States,0.0012751054852320675,6.370000000000001,High,Mega (100M+),Low,42.19409282700422,0.0091,9.0
13,nike,90,950.0,234100000.0,329000.0,0.08,181800.0,313600000.0,United States,0.0014053823152498932,7.2,Low,Mega (100M+),Low,4.058094831268689,0.09473684210526316,10.0
14,taylorswift,91,530.0,222200000.0,2400000.0,1.01,2300000.0,1300000000.0,United States,0.010801080108010801,91.91,Low,Mega (100M+),Medium,2.385238523852385,0.17169811320754716,11.0
